dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Reportons cette prérogative jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_lord_collect_debt_no_pay:close_window|Est-ce une plaisanterie ? Je sais pertinemment que {s7} vous a donné l'argent et j'exige chaque écu qui m'est dû, {messire/madame}. Pour ma part, vous me serez personnellement redevable tant que je n'aurai pas vu cet argent.
dlga_lord_start:close_window.1|J'ai entendu dire que le marchand véreux qui m'avait causé tant de tracas n'est plus. Je vois que vous n'avez pas peur de vous salir les mains, hein ? J'aime ça chez {un homme/une femme}. Voici votre récompense. Souvenez-vous, {playername}, restez avec moi et nous ferons un long, très long chemin ensemble.  
dlga_lord_start:close_window.2|Oh, c'est vous. Éclairez-moi, comment quelqu'un peut-il précisément perdre un simple combat contre un marchand véreux et de rang inférieur ? Sincèrement, si un jour j'ai besoin que mes gardes apprennent à s'étendre sur le sol et à mourir au combat, vous pouvez être sûr que je ferai appel à vous. Laissez-moi à présent, {playername}, j'ai à faire. 
dlga_lord_start:lord_kill_local_merchant_let_go|Vous ! Avez-vous de la sciure dans les oreilles ? Pensiez-vous que lorsque que je vous ai demandé de tuer le marchand, je sous-entendais que vous deviez avoir une agréable conversation avec lui pour ensuite le laisser partir ? Quelle force vous a possédé ? 
dlga_lord_kill_local_merchant_let_go:lord_kill_local_merchant_let_go_2|messire, j'ai fait en sorte qu'il n'agisse pas contre vous.
dlga_lord_kill_local_merchant_let_go_2:lord_pretalk|Balivernes, vous deviez m'en débarrasser, pas le sermonner et le laisser s'en aller. Il a intérêt à rester peinard ou vous en paierez tous deux les conséquences. Voilà la moitié de l'argent que je vous ai promis. Et pas un mot, {playername}, estimez-vous heureux, les gens incapables de faire ce qu'on leur dit ne me sont d'aucune utilité.
dlga_lord_start:lord_follow_spy_completed|Beau travail {playername}, vous avez capturez à la fois l'espion et son commanditaire, comme je l'espérais. Les deux sont à présent bien cachés dans mon donjon, attendant de se faire questionner. Mes tortionnaires vont être occupés cette nuit ! Quoiqu'il en soit, je suis content de votre réussite, {playername} et je vous donne cette bourse en signe de ma gratitude.
dlga_lord_start:lord_follow_spy_half_completed|Allez au diable ! Je voulais DEUX prisonniers, {playername}, ce que vous m'avez amené a très peu d 'intérêt ! Je sais tout ce que l'espion sait déjà, c'était le commanditaire que je voulais. Tenez, un travail à moitié fait équivaut une moitié de la récompense. Prenez-la et partez.
dlga_lord_start:lord_follow_spy_half_completed.1|Je vous ai demandé deux prisonniers {playername}, pas un. Deux. Toutefois, je suppose que vous avez quand même capturé le commanditaire de l'espion, le plus important des deux. L'espion n'osera plus revenir ici et s'avèrera pour le moins inutile quelque soit le maître qu'il ait servi, c'est mieux que rien. Cependant, vous comprendrez que je ne vous paie que la moitié de la récompense promise car vous avez fait la moitié du travail.
dlga_lord_start:lord_follow_spy_failed|Franchement {playername}, vous êtes {un/une} incapable, en ne capturant ni l'espion, ni son commanditaire, vous repoussez les limites de l'incompétence. Oubliez toute récompense promise, vous ne le méritez pas.
dlga_lord_follow_spy_half_completed:lord_pretalk|J'ai fait de mon mieux, je vous l'assure.
dlga_lord_follow_spy_completed:lord_pretalk|Merci.
dlga_lord_follow_spy_failed:lord_pretalk|Hum, comme vous voulez.
dlga_lord_start:lord_generic_mission_completed.2|Beau travail, {playername}. Tous les serfs sont de retour, bien dociles, et prêts pour les moissons. Vous avez bien mérité votre récompense. Tenez, c'est pour vous, avec mes compliments.
dlga_lord_start:lord_bring_back_runaway_serfs_failed|{playername}. J'ai attendu patiemment mes serfs, mais aucun n'est revenu. Pouvez-vous m'expliquer pourquoi ? Est-ce que vous vous êtes laissé berner par une bande d'ouvriers agricoles ou êtes-vous simplement incompétent ? Ou peut-être complotez-vous avec mes ennemis, dans l'optique de me ruiner.
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1a|Pardonnez-moi, Messire, ces serfs étaient vifs comme des anguilles.
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1b|Peut-être que si vous les aviez mieux traiter...
dlga_lord_bring_back_runaway_serfs_failed_1a:lord_pretalk|Hum, ça n'est guère une excuse pour avoir échoué, {playername}. Maintenant si vous voulez bien m'excuser, je dois recruter de nouveaux hommes pour travailler dans les champs avant que nous mourions tous de faim.
dlga_lord_bring_back_runaway_serfs_failed_1b:close_window|Ah ah ! Vous révélez enfin votre vrai visage, traitre ! Vos paroles sont manifestement à la hauteur de vos actes. Je n'aurai jamais dû vous faire confiance.
dlga_lord_start:lord_runaway_serf_half_completed|Vous me décevez, {playername}. Je vous avais chargé de me ramener les 3 groupes de serfs. 3. Pas {reg17}. Je suppose que ceux qui seront effectivement de retour devront travailler deux fois plus durement pour compenser l'absence de ceux qui se sont échappés. Quant à votre récompense, {playername}, je ne vous paierai que les serfs qui m'ont été amenés, et non ceux que vous avez laissé fuir. Tenez, prenez ça, qu'on en finisse avec cette histoire.  
dlga_lord_runaway_serf_half_completed:lord_pretalk|Merci, Messire. Vous êtes vraiment généreux.
dlga_lord_runaway_serf_half_completed:lord_pretalk.1|Bah, tout ce que j'en retiens c'est que j'ai perdu mon temps.
dlga_lord_start:lord_deal_with_bandits_completed|{playername}, il m'a été rapporté que vous aviez écraser les bandits dans mon village de {s5}. Sachez que je vous en suis très reconnaissant. Permettez-moi de participer aux frais de votre campagne. Tenez, j'espère que ces {reg14} écus vous conviendront.
dlga_lord_deal_with_bandits_completed:lord_pretalk|Pas de problème, pour vous servire.
dlga_lord_deal_with_bandits_completed:lord_pretalk.1|Content de vous être utile.
dlga_lord_deal_with_bandits_completed:lord_pretalk.2|C'était un jeu d'enfant.
dlga_lord_start:lord_pretalk.1|Soyez maudit, {playername}. J'ai su que vous aviez été incapable de sortir ces bandits de mon village de {s5}, et merci car maintenant mon village est en ruines. On m'avait dit que vous étiez un vrai guerrier, mais il faut croire que c'est faux.
dlga_lord_start:lord_deliver_cattle_to_army_thank|Ah {playername}, mon intendant m'a informé que vous m'aviez apporter les {reg13} têtes de bétail, comme je vous l'avais demandé. Je suis impressionné. 
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk|Pas de problème, Pour vous servire.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.1|Content de vous être utile.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.2|Un jeu d'enfant.
dlga_lord_start:lord_scout_waypoints_thank|Vous faites un bon éclaireur, {playername}. Mon commissionnaire vient juste de m'apporter vos rapports sur la mission des lieus. Félicitations.
dlga_lord_scout_waypoints_thank:lord_pretalk|Une tâche simple, assurement.
dlga_lord_scout_waypoints_thank:lord_pretalk.1|Rien que je ne puisse entreprendre.
dlga_lord_scout_waypoints_thank:lord_pretalk.2|Avec plaisir.
dlga_lord_start:lord_mission_told_deliver_cattle_to_army|Les provisions de l'armée s'amenuisent trop rapidement, {playername}. J'ai besoin que vous m'apportiez {reg3} têtes de bétail pour que je puisse approvisionner les troupes. Leur provenance a très peu d'importance, contentez-vous de me les amener dès que vous le pourrez.
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_accepted|Très bien. Je peux vous trouver du bétail.
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_rejected|Désolé messire, j'ai d'autres plans.
dlga_lord_mission_told_deliver_cattle_to_army_accepted:close_window|Excellent ! Vous savez ce que vous avez à faire, {playername}, allez-y à présent. J'ai besoin de ce bétail au plus vite.
dlga_lord_mission_told_deliver_cattle_to_army_rejected:close_window|C'est regrettable {playername}, je vais devoir trouver quelqu'un d'autre qui soit à la hauteur de cette tâche. Je vous prie de partir à présent, J'ai du travail qui m'attend. 
dlga_lord_start:lord_pretalk.2|Merci d'avoir répondu à l'appel, {playername}. Mais maintenant que nous sommes en paix, nous n'avons plus besoin de vos services. Vous pouvez aller chercher un autre boulot.
dlga_lord_start:lord_report_to_army_asked|Ah ! Vous voilà enfin, {playername}. Nous vous attendions. J'espère que vous avez amené des troupes suffisamment nombreuses et expérimentées avec vous.
dlga_lord_report_to_army_asked:lord_report_to_army_completed|J'ai une compagnie de soldats compétents et endurcis avec moi. Nous sommes prêts à vous rejoindre.
dlga_lord_report_to_army_asked:lord_report_to_army_continue|Je n'ai pas encore assez de soldats. J'aurai besoin d'un peu plus de temps.
dlga_lord_report_to_army_completed:close_window|Excellent, nous partons bientôt. Maintenant vous êtes un {homme/guerrier} d'un grand discernement, et nous espérons que vous ferez ce qui est nécessaire pour soutenir notre campagne. Je ne vous oblige pas à rester à portée de main, et je ne vous en voudrais pas si vous pensez que vos forces seraient mieux employées ailleurs. Mais si vous choisissez de rester avec moi pour me soutenir dans les batailles, j'apprécierais. J'aurai peut-être aussi des tâches supplémentaires à vous donner.
dlga_lord_report_to_army_continue:close_window|Alors vous feriez mieux de vous dépêcher. Nous allons bientôt affronter l'ennemi et j'ai besoin que tous les hommes aptes au combat se mobilisent à l'appel. 
dlga_lord_start:lord_mission_told_scout_waypoints|{playername}, j'ai besoin d'un volontaire pour une reconnaissance. Nous manquons fortement d'informations et je dois simplement avoir une meilleure description de la situation avant que nous puissions agir. Je veux que vous vous rendiez à {s13}, {s14} et {s15} et que vous me fassiez un rapport sur tout ce que vous pourrez y trouver.  
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_accepted|Soit, je serais ce volontaire.
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_rejected|Je crains de devoir refuser. 
dlga_lord_mission_told_scout_waypoints_accepted:close_window|Brave {homme/jeune fille} ! Passez simplement à côté de {s13}, {s14} et {s15} et renseignez-vous sur ce qu'il s'y passe. Prenez note de tout ce que y trouverez et revenez-me voir dès que possible.
dlga_lord_mission_told_scout_waypoints_rejected:lord_pretalk|Hum, je suis déçu {playername}, très déçu. Nous en parlerons plus tard, je dois partir à la recherche d'un éclaireur. 
dlga_lord_generic_mission_thank:lord_generic_mission_completed|Vous m'avez été très utile, {playername}, mes remerciements.
dlga_lord_generic_mission_completed:lord_pretalk|Ce fut un honneur de vous servir.
dlga_lord_start:lord_pay_debt_2|Je pense que vous m'êtes redevable de {reg1} écus, {playername}. Avez-vous l'intention de bientôt régler votre dette ?
dlga_lord_pay_debt_2:lord_pay_debt_3_1|C'est la raison pour laquelle je suis ici. Tenez, voici chaque écu que je vous dois.
dlga_lord_pay_debt_2:lord_pay_debt_3_2|Malheureusement je n'ai pas assez d'argent, mais je vous paierai dans peu de temps. 
dlga_lord_pay_debt_3_1:lord_pretalk|Ah, excellent ! Votre noblesse vous honore, {playername}, je suis satisfait, la dette que vous aviez envers moi est effacée.
dlga_lord_pay_debt_3_2:lord_pretalk|Bien, ne me faites pas attendre plus longtemps.
dlga_lord_start:lord_start.1|À propos, j'espère que vous aurez la possibilité de rencontrer {ma/mon} {s11}, {s14}. 
dlga_lord_start:lord_start.2|À propos, je suis sûr que ma {s11}, {s14} accepterait volontiers que vous lui rendiez visite. Elle vous attend dans ses appartements.
dlga_lord_start:lord_buy_prisoner|J'ai entendu dire que vous aviez capturé notre ennemi {s3} et qu'il est avec vous à l'heure qu'il est. Je peux vous en donner {reg6} écus si vous voulez vous débarrasser de lui. Vous pouvez bien entendu attendre que sa famille paye une rançon, mais difficile de dire combien de temps cela va prendre, pas vrai ? 
dlga_lord_buy_prisoner:lord_buy_prisoner_accept|J'accepte votre offre. Je vous laisse {s3} pour {reg6} écus.
dlga_lord_buy_prisoner:lord_buy_prisoner_deny|Je crains de ne pouvoir accepter votre offre.
dlga_lord_buy_prisoner_accept:lord_pretalk|Excellent ! Voici vos {reg6} écus. J'enverrai quelques hommes pour qu'ils le ramènent au plus vite dans notre prison. 
dlga_lord_buy_prisoner_deny:lord_pretalk|Hum, comme vous voulez {playername}, mais on ne vous fera pas de meilleure offre. C'est moi qui vous le dit. 
dlga_lord_start:lord_talk|Je lève une {s5} à votre santé, {playername} ! Vous êtes bien grâcieux de nous accueillir pour cette occasion. Et maintenant qu'y a-t-il ?
dlga_lord_start:lord_talk.1|Votre altesse, à votre santé et long règne à vous. Quels sont vos ordres ?
dlga_lord_start:lord_talk.2|Quels sont vos ordres ?
dlga_lord_start:lord_talk.3|Je vous souhaite la bienvenue dans mon fief en cette délicieuse occasion. Et maintenant qu'y a-t-il ?
dlga_lord_start:lord_talk.4|Levons une {s5} à la santé de notre hôte, {s4}. Et maintenant qu'y a-t-il ?
dlga_lord_talk:offer_gift_quest_complete|J'ai le nécessaire pour le cadeau de {s4}.
dlga_offer_gift_quest_complete:close_window|Ah, permettez-moi de le prendre, j'espère que cela va vous réconcilier. Vous devriez lui parler et voir si c'est une réussite.
dlga_lord_talk:intrigue_quest_state_complaint|Mon seigneur, j'aimerais vous révéler quelque chose au sujet d'un de vos vassaux.
dlga_intrigue_quest_state_complaint:lord_pretalk|Quoi que vous ayez à dire, je vous demande d'attendre que nous soyons seuls.
dlga_intrigue_quest_state_complaint:intrigue_quest_state_complaint_plyr|Qu'y a t-il ? Votre opinion m'importe beaucoup, mais j'espère que vous n'essayez pas de semer la discorde parmi mes vassaux ? 
dlga_intrigue_quest_state_complaint_plyr:lord_intrigue_quest_complaint_stated|{s4} est perçu par vos vassaux comme {s5} et un boulet pour votre souveraineté.
dlga_intrigue_quest_state_complaint_plyr:lord_pretalk|En fait, laissez tomber.
dlga_lord_intrigue_quest_complaint_stated:lord_pretalk|Hum, ce fait est troublant, bien que je n'encourage pas mes vassaux à dire du mal des uns et des autres, j'apprécie votre avis. Peut-être devrais-je réfléchir à deux fois sur l'octroi à {s4} de fiefs ou autres.
